HL70126=RD,Records,HL70126
HOD=14189004,Measles (disorder),SCT
HOD=36989005,Mumps (disorder),SCT
HOD=36653000,Rubella (disorder),SCT
HOD=23511006,Meningococcal infectious disease (disorder),SCT
HOD=16814004,Pneumococcal infectious disease (disorder),SCT
HOD=398102009,Acute poliomyelitis (disorder),SCT
HOD=14168008,Rabies (disorder),SCT
HOD=18624000,Disease due to Rotavirus (disorder),SCT
HOD=4834000,Typhoid fever (disorder),SCT
HOD=111852003,Vaccinia (disorder),SCT
HOD=38907003,Varicella (disorder),SCT
HOD=16541001,Yellow fever (disorder),SCT
HOD=271511000,Hepatitis B immune (finding),SCT
REGISTRY STATUS=A,Active,HL70441
REGISTRY STATUS=I,Inactive--Unspecified,HL70441
REGISTRY STATUS=L,Inactive-Lost to follow-up (cannot contact),HL70441
REGISTRY STATUS=M,Inactive-Moved or gone elsewhere (transferred),HL70441
REGISTRY STATUS=P,Inactive-Permanently inactive (do not re-activate or add new entries to this record),HL70441
REGISTRY STATUS=U,Unknown,HL70441
REFUSAL REASON=00,Parental decision,NIP002
REFUSAL REASON=01,Religious exemption,NIP002
REFUSAL REASON=02,Other,NIP002
REFUSAL REASON=03,Patient decision,NIP002
RELATIONSHIP=BRO,Brother,HL70063
RELATIONSHIP=CGV,Care Giver,HL70063
RELATIONSHIP=CHD,Child,HL70063
RELATIONSHIP=FCH,Foster Child,HL70063
RELATIONSHIP=FTH,Father,HL70063
RELATIONSHIP=GRD,Guardian,HL70063
RELATIONSHIP=GRP,Grand Parent,HL70063
RELATIONSHIP=MTH,Mother,HL70063
RELATIONSHIP=OTH,Other,HL70063
RELATIONSHIP=PAR,Parent,HL70063
RELATIONSHIP=SCH,Step Child,HL70063
RELATIONSHIP=SEL,Self,HL70063
RELATIONSHIP=SIB,Sibling,HL70063
RELATIONSHIP=SIS,Sister,HL70063
RELATIONSHIP=SPO,Spouse,HL70063
BODY ROUTE=C28161,Intramuscular ,HL70162
BODY ROUTE=C38238,Intradermal ,HL70162
BODY ROUTE=C38276,Intravenous ,HL70162
BODY ROUTE=C38284,Nasal ,HL70162
BODY ROUTE=C38288,Oral ,HL70162
BODY ROUTE=C38299,Subcutaneous ,HL70162
BODY ROUTE=C38305,Transdermal ,HL70162
BODY ROUTE=C38676,Percutaneous ,HL70162
BODY ROUTE=ID,Intradermal ,HL70162
BODY ROUTE=IM,Intramuscular ,HL70162
BODY ROUTE=IN,Intranasal,HL70162
BODY ROUTE=IV,Intravenous ,HL70162
BODY ROUTE=NS,Nasal ,HL70162
BODY ROUTE=OTH,Other/Miscellaneous ,HL70162
BODY ROUTE=PO,Oral ,HL70162
BODY ROUTE=SC,Subcutaneous ,HL70162
BODY ROUTE=TD,Transdermal ,HL70162
BODY SITE=LA,Left Upper Arm ,HL70163
BODY SITE=LD,Left Deltoid ,HL70163
BODY SITE=LG,Left Gluteous Medius ,HL70163
BODY SITE=LLFA,Left Lower Forearm ,HL70163
BODY SITE=LT,Left Thigh ,HL70163
BODY SITE=LVL,Left Vastus Lateralis ,HL70163
BODY SITE=RA,Right Upper Arm ,HL70163
BODY SITE=RD,Right Deltoid ,HL70163
BODY SITE=RG,Right Gluteous Medius ,HL70163
BODY SITE=RLFA,Right Lower Forearm ,HL70163
BODY SITE=RT,Right Thigh ,HL70163
BODY SITE=RVL,Right Vastus Lateralis ,HL70163
BODY SITE=BN,Bilateral Nares,HL70163
BODY SITE=LA,Left Arm,HL70163
BODY SITE=MO,Mouth,HL70163
BODY SITE=LN,Left Nares,HL70163
BODY SITE=RN,Right Nares,HL70163
VAC HISTORICAL=143,Adenovirus types 4 and 7,CVX
VAC HISTORICAL=54,adenovirus, type 4,CVX
VAC HISTORICAL=55,adenovirus, type 7,CVX
VAC HISTORICAL=82,adenovirus, unspecified formulation,CVX
VAC HISTORICAL=24,anthrax,CVX
VAC HISTORICAL=19,BCG,CVX
VAC HISTORICAL=27,botulinum antitoxin,CVX
VAC HISTORICAL=26,cholera,CVX
VAC HISTORICAL=29,CMVIG,CVX
VAC HISTORICAL=12,diphtheria antitoxin,CVX
VAC HISTORICAL=28,DT (pediatric),CVX
VAC HISTORICAL=20,DTaP,CVX
VAC HISTORICAL=106,DTaP, 5 pertussis antigens,CVX
VAC HISTORICAL=107,DTaP, unspecified formulation,CVX
VAC HISTORICAL=146,DTaP,IPV,Hib,HepB,CVX
VAC HISTORICAL=110,DTaP-Hep B-IPV,CVX
VAC HISTORICAL=50,DTaP-Hib,CVX
VAC HISTORICAL=120,DTaP-Hib-IPV,CVX
VAC HISTORICAL=130,DTaP-IPV,CVX
VAC HISTORICAL=132,DTaP-IPV-HIB-HEP B, historical,CVX
VAC HISTORICAL=01,DTP,CVX
VAC HISTORICAL=22,DTP-Hib,CVX
VAC HISTORICAL=102,DTP-Hib-Hep B,CVX
VAC HISTORICAL=30,HBIG,CVX
VAC HISTORICAL=52,Hep A, adult,CVX
VAC HISTORICAL=83,Hep A, ped/adol, 2 dose,CVX
VAC HISTORICAL=84,Hep A, ped/adol, 3 dose,CVX
VAC HISTORICAL=31,Hep A, pediatric, unspecified formulation,CVX
VAC HISTORICAL=85,Hep A, unspecified formulation,CVX
VAC HISTORICAL=104,Hep A-Hep B,CVX
VAC HISTORICAL=08,Hep B, adolescent or pediatric,CVX
VAC HISTORICAL=42,Hep B, adolescent/high risk infant,CVX
VAC HISTORICAL=43,Hep B, adult,CVX
VAC HISTORICAL=44,Hep B, dialysis,CVX
VAC HISTORICAL=45,Hep B, unspecified formulation,CVX
VAC HISTORICAL=47,Hib (HbOC),CVX
VAC HISTORICAL=46,Hib (PRP-D),CVX
VAC HISTORICAL=49,Hib (PRP-OMP),CVX
VAC HISTORICAL=48,Hib (PRP-T),CVX
VAC HISTORICAL=17,Hib, unspecified formulation,CVX
VAC HISTORICAL=51,Hib-Hep B,CVX
VAC HISTORICAL=61,HIV,CVX
VAC HISTORICAL=118,HPV, bivalent,CVX
VAC HISTORICAL=62,HPV, quadrivalent,CVX
VAC HISTORICAL=137,HPV, unspecified formulation,CVX
VAC HISTORICAL=86,IG,CVX
VAC HISTORICAL=14,IG, unspecified formulation,CVX
VAC HISTORICAL=87,IGIV,CVX
VAC HISTORICAL=135,Influenza, high dose seasonal,CVX
VAC HISTORICAL=111,influenza, live, intranasal,CVX
VAC HISTORICAL=149,influenza, live, intranasal, quadrivalent,CVX
VAC HISTORICAL=141,Influenza, seasonal, injectable,CVX
VAC HISTORICAL=140,Influenza, seasonal, injectable, preservative free,CVX
VAC HISTORICAL=144,influenza, seasonal, intradermal, preservative free,CVX
VAC HISTORICAL=15,influenza, split (incl. purified surface antigen),CVX
VAC HISTORICAL=88,influenza, unspecified formulation,CVX
VAC HISTORICAL=16,influenza, whole,CVX
VAC HISTORICAL=10,IPV,CVX
VAC HISTORICAL=134,Japanese Encephalitis IM,CVX
VAC HISTORICAL=39,Japanese encephalitis SC,CVX
VAC HISTORICAL=129,Japanese Encephalitis, unspecified formulation,CVX
VAC HISTORICAL=66,Lyme disease,CVX
VAC HISTORICAL=04,M/R,CVX
VAC HISTORICAL=05,measles,CVX
VAC HISTORICAL=103,meningococcal C conjugate,CVX
VAC HISTORICAL=148,Meningococcal C/Y-HIB PRP ,CVX
VAC HISTORICAL=147,meningococcal MCV4, unspecified formulation,CVX
VAC HISTORICAL=136,Meningococcal MCV4O,CVX
VAC HISTORICAL=114,meningococcal MCV4P,CVX
VAC HISTORICAL=32,meningococcal MPSV4,CVX
VAC HISTORICAL=108,meningococcal, unspecified formulation,CVX
VAC HISTORICAL=03,MMR,CVX
VAC HISTORICAL=94,MMRV,CVX
VAC HISTORICAL=07,mumps,CVX
VAC HISTORICAL=127,Novel influenza-H1N1-09,CVX
VAC HISTORICAL=128,Novel Influenza-H1N1-09, all formulations,CVX
VAC HISTORICAL=125,Novel Influenza-H1N1-09, nasal,CVX
VAC HISTORICAL=126,Novel influenza-H1N1-09, preservative-free,CVX
VAC HISTORICAL=02,OPV,CVX
VAC HISTORICAL=69,parainfluenza-3,CVX
VAC HISTORICAL=11,pertussis,CVX
VAC HISTORICAL=23,plague,CVX
VAC HISTORICAL=133,Pneumococcal conjugate PCV 13,CVX
VAC HISTORICAL=100,pneumococcal conjugate PCV 7,CVX
VAC HISTORICAL=33,pneumococcal polysaccharide PPV23,CVX
VAC HISTORICAL=109,pneumococcal, unspecified formulation,CVX
VAC HISTORICAL=89,polio, unspecified formulation,CVX
VAC HISTORICAL=40,rabies, intradermal injection,CVX
VAC HISTORICAL=18,rabies, intramuscular injection,CVX
VAC HISTORICAL=90,rabies, unspecified formulation,CVX
VAC HISTORICAL=34,RIG,CVX
VAC HISTORICAL=119,rotavirus, monovalent,CVX
VAC HISTORICAL=116,rotavirus, pentavalent,CVX
VAC HISTORICAL=74,rotavirus, tetravalent,CVX
VAC HISTORICAL=122,rotavirus, unspecified formulation,CVX
VAC HISTORICAL=71,RSV-IGIV,CVX
VAC HISTORICAL=93,RSV-MAb,CVX
VAC HISTORICAL=145,RSV-Mab (new),CVX
VAC HISTORICAL=06,rubella,CVX
VAC HISTORICAL=38,rubella/mumps,CVX
VAC HISTORICAL=76,Staphylococcus bacterio lysate,CVX
VAC HISTORICAL=138,Td (adult),CVX
VAC HISTORICAL=113,Td (adult) preservative free,CVX
VAC HISTORICAL=09,Td (adult), adsorbed,CVX
VAC HISTORICAL=139,Td(adult) unspecified formulation,CVX
VAC HISTORICAL=115,Tdap,CVX
VAC HISTORICAL=35,tetanus toxoid, adsorbed,CVX
VAC HISTORICAL=142,tetanus toxoid, not adsorbed,CVX
VAC HISTORICAL=112,tetanus toxoid, unspecified formulation,CVX
VAC HISTORICAL=77,tick-borne encephalitis,CVX
VAC HISTORICAL=13,TIG,CVX
VAC HISTORICAL=78,tularemia vaccine,CVX
VAC HISTORICAL=25,typhoid, oral,CVX
VAC HISTORICAL=41,typhoid, parenteral,CVX
VAC HISTORICAL=53,typhoid, parenteral, AKD (U.S. military),CVX
VAC HISTORICAL=91,typhoid, unspecified formulation,CVX
VAC HISTORICAL=101,typhoid, ViCPs,CVX
VAC HISTORICAL=131,typhus, historical,CVX
VAC HISTORICAL=75,vaccinia (smallpox),CVX
VAC HISTORICAL=105,vaccinia (smallpox) diluted,CVX
VAC HISTORICAL=79,vaccinia immune globulin,CVX
VAC HISTORICAL=21,varicella,CVX
VAC HISTORICAL=81,VEE, inactivated,CVX
VAC HISTORICAL=80,VEE, live,CVX
VAC HISTORICAL=92,VEE, unspecified formulation,CVX
VAC HISTORICAL=36,VZIG,CVX
VAC HISTORICAL=117,VZIG (IND),CVX
VAC HISTORICAL=37,yellow fever,CVX
VAC HISTORICAL=121,zoster,CVX
VAC ADMIN=03,M-M-R II,MSD
VAC ADMIN=05,ATTENUVAX,MSD
VAC ADMIN=06,MERUVAX II,MSD
VAC ADMIN=08,ENGERIX B-PEDS,SKB
VAC ADMIN=08,RECOMBIVAX-PEDS,MSD
VAC ADMIN=09,TD(GENERIC),MBL
VAC ADMIN=10,IPOL,PMC
VAC ADMIN=100,PREVNAR 7,WAL
VAC ADMIN=101,TYPHIM VI,PMC
VAC ADMIN=104,TWINRIX,SKB
VAC ADMIN=106,DAPTACEL,PMC
VAC ADMIN=110,PEDIARIX,SKB
VAC ADMIN=111,FLUMIST,MED
VAC ADMIN=113,DECAVAC,PMC
VAC ADMIN=114,MENACTRA,PMC
VAC ADMIN=115,ADACEL,PMC
VAC ADMIN=115,BOOSTRIX,SKB
VAC ADMIN=116,ROTATEQ,MSD
VAC ADMIN=118,CERVARIX,SKB
VAC ADMIN=119,ROTARIX,SKB
VAC ADMIN=120,PENTACEL,PMC
VAC ADMIN=121,ZOSTAVAX,MSD
VAC ADMIN=130,KINRIX,SKB
VAC ADMIN=133,PREVNAR 13,PFR
VAC ADMIN=133,PREVNAR 13,WAL
VAC ADMIN=134,IXIARO,INT
VAC ADMIN=135,FLUZONE-HIGH DOSE,PMC
VAC ADMIN=136,MENVEO,NOV
VAC ADMIN=140,Afluria, preservative free,CSL
VAC ADMIN=140,AGRIFLU,NOV
VAC ADMIN=140,FLUARIX,SKB
VAC ADMIN=140,FLUVIRIN-PRESERVATIVE FREE,NOV
VAC ADMIN=140,FLUZONE-PRESERVATIVE FREE,PMC
VAC ADMIN=141,AFLURIA,CSL
VAC ADMIN=141,FLULAVAL,SKB
VAC ADMIN=141,FLUVIRIN,NOV
VAC ADMIN=141,FLUZONE,PMC
VAC ADMIN=18,IMOVAX,PMC
VAC ADMIN=18,RABAVERT,NOV
VAC ADMIN=19,MYCOBAX,PMC
VAC ADMIN=19,TICE BCG,OTC
VAC ADMIN=20,INFANRIX,SKB
VAC ADMIN=20,TRIPEDIA,PMC
VAC ADMIN=21,VARIVAX,MSD
VAC ADMIN=24,BIOTHRAX,MIP
VAC ADMIN=25,VIVOTIF BERNA,BPC
VAC ADMIN=28,DT(GENERIC),PMC
VAC ADMIN=32,MENOMUNE,PMC
VAC ADMIN=33,PNEUMOVAX 23,MSD
VAC ADMIN=35,TETANUS TOXOID (GENERIC),PMC
VAC ADMIN=37,YF-VAX,PMC
VAC ADMIN=39,JE-VAX,JPN
VAC ADMIN=43,ENGERIX-B-ADULT,SKB
VAC ADMIN=43,RECOMBIVAX-ADULT,MSD
VAC ADMIN=44,RECOMBIVAX-DIALYSIS,MSD
VAC ADMIN=46,PROHIBIT,PMC
VAC ADMIN=48,ACTHIB,PMC
VAC ADMIN=48,HIBERIX,SKB
VAC ADMIN=49,PEDVAXHIB,MSD
VAC ADMIN=50,TRIHIBIT,PMC
VAC ADMIN=51,COMVAX,MSD
VAC ADMIN=52,HAVRIX-ADULT,SKB
VAC ADMIN=52,VAQTA-ADULT,MSD
VAC ADMIN=53,TYPHOID-AKD,USA
VAC ADMIN=62,GARDASIL,MSD
VAC ADMIN=75,ACAM2000,PMC
VAC ADMIN=83,HAVRIX-PEDS,SKB
VAC ADMIN=83,VAQTA-PEDS,MSD
VAC ADMIN=94,PROQUAD,MSD
VAC ADMIN=113,Tenivac,PMC
VAC ADMIN=148,MENHIBRIX,SKB
VAC ADMIN=149,Flumist quadrivalent ,MED
VAC ADMIN=143,Adenovirus types 4 and 7 ,BRR
MVX=AB,Abbott Laboratories,MVX
MVX=ACA,Acambis, Inc,MVX
MVX=AD,Adams Laboratories, Inc.,MVX
MVX=ALP,Alpha Therapeutic Corporation,MVX
MVX=AR,Armour,MVX
MVX=AVB,Aventis Behring L.L.C.,MVX
MVX=AVI,Aviron,MVX
MVX=BA,Baxter Healthcare Corporation-inactive,MVX
MVX=BAH,Baxter Healthcare Corporation,MVX
MVX=BAY,Bayer Corporation,MVX
MVX=BP,Berna Products,MVX
MVX=BPC,Berna Products Corporation,MVX
MVX=BTP,Biotest Pharmaceuticals Corporation,MVX
MVX=MIP,Emergent BioDefense Operations Lansing,MVX
MVX=CSL,CSL Behring, Inc,MVX
MVX=CNJ,Cangene Corporation,MVX
MVX=CMP,Celltech Medeva Pharmaceuticals,MVX
MVX=CEN,Centeon L.L.C.,MVX
MVX=CHI,Chiron Corporation,MVX
MVX=CON,Connaught,MVX
MVX=DVC,DynPort Vaccine Company, LLC,MVX
MVX=EVN,Evans Medical Limited,MVX
MVX=GEO,GeoVax Labs, Inc.,MVX
MVX=SKB,GlaxoSmithKline,MVX
MVX=GRE,Greer Laboratories, Inc.,MVX
MVX=IAG,Immuno International AG,MVX
MVX=IUS,Immuno-U.S., Inc.,MVX
MVX=INT,Intercell Biomedical,MVX
MVX=KGC,Korea Green Cross Corporation,MVX
MVX=LED,Lederle,MVX
MVX=MBL,Massachusetts Biologic Laboratories,MVX
MVX=MA,Massachusetts Public Health Biologic Laboratories,MVX
MVX=MED,MedImmune, Inc.,MVX
MVX=MSD,Merck and Co., Inc.,MVX
MVX=IM,Merieux,MVX
MVX=MIL,Miles,MVX
MVX=NAB,NABI,MVX
MVX=NYB,New York Blood Center,MVX
MVX=NAV,North American Vaccine, Inc.,MVX
MVX=NOV,Novartis Pharmaceutical Corporation,MVX
MVX=NVX,Novavax, Inc.,MVX
MVX=OTC,Organon Teknika Corporation,MVX
MVX=ORT,Ortho-clinical Diagnostics,MVX
MVX=PD,Parkedale Pharmaceuticals,MVX
MVX=PWJ,PowderJect Pharmaceuticals,MVX
MVX=PRX,Praxis Biologics,MVX
MVX=JPN,The Research Foundation for Microbial Diseases of Osaka University (BIKEN),MVX
MVX=PMC,sanofi pasteur,MVX
MVX=SCL,Sclavo, Inc.,MVX
MVX=SOL,Solvay Pharmaceuticals,MVX
MVX=SI,Swiss Serum and Vaccine Inst.,MVX
MVX=TAL,Talecris Biotherapeutics,MVX
MVX=USA,United States Army Medical Research and Material Command,MVX
MVX=VXG,VaxGen,MVX
MVX=WA,Wyeth-Ayerst,MVX
MVX=WAL,Wyeth,MVX
MVX=ZLB,ZLB Behring,MVX
MVX=OTH,Other manufacturer,MVX
MVX=UNK,Unknown manufacturer,MVX
MVX=AKR,Akorn, Inc,MVX
MVX=PFR,Pfizer, Inc,MVX
MVX=BRR,Barr Laboratories,MVX
MVX=JNJ,Johnson and Johnson,MVX
VAC HISTORICAL=90701,DTP,CPT
VAC HISTORICAL=90281,IG,CPT
VAC HISTORICAL=90283,IGIV,CPT
VAC HISTORICAL=90287,botulinum antitoxin,CPT
VAC HISTORICAL=90291,CMVIG,CPT
VAC HISTORICAL=90296,diphtheria antitoxin,CPT
VAC HISTORICAL=90371,HBIG,CPT
VAC HISTORICAL=90375,RIG,CPT
VAC HISTORICAL=90376,RIG,CPT
VAC HISTORICAL=90378,RSV-MAb,CPT
VAC HISTORICAL=90379,RSV-IGIV,CPT
VAC HISTORICAL=90389,TIG,CPT
VAC HISTORICAL=90393,vaccinia immune globulin,CPT
VAC HISTORICAL=90396,VZIG,CPT
VAC HISTORICAL=90476,adenovirus, type 4,CPT
VAC HISTORICAL=90477,adenovirus, type 7,CPT
VAC HISTORICAL=90581,anthrax,CPT
VAC HISTORICAL=90585,BCG,CPT
VAC HISTORICAL=90632,Hep A, adult,CPT
VAC HISTORICAL=90633,Hep A, ped/adol, 2 dose,CPT
VAC HISTORICAL=90634,Hep A, ped/adol, 3 dose,CPT
VAC HISTORICAL=90636,Hep A-Hep B,CPT
VAC HISTORICAL=90644,Meningococcal C/Y-HIB PRP,CPT
VAC HISTORICAL=90645,Hib (HbOC),CPT
VAC HISTORICAL=90646,Hib (PRP-D),CPT
VAC HISTORICAL=90647,Hib (PRP-OMP),CPT
VAC HISTORICAL=90648,Hib (PRP-T),CPT
VAC HISTORICAL=90649,HPV, quadrivalent,CPT
VAC HISTORICAL=90650,HPV, bivalent,CPT
VAC HISTORICAL=90654,Influenza, seasonal, injectable, preservative free,CPT
VAC HISTORICAL=90655,Influenza, seasonal, injectable, preservative free,CPT
VAC HISTORICAL=90656,Influenza, seasonal, injectable, preservative free,CPT
VAC HISTORICAL=90657,Influenza, seasonal, injectable,CPT
VAC HISTORICAL=90658,Influenza, seasonal, injectable,CPT
VAC HISTORICAL=90660,influenza, live, intranasal,CPT
VAC HISTORICAL=90662,Influenza, high dose seasonal,CPT
VAC HISTORICAL=90665,Lyme disease,CPT
VAC HISTORICAL=90669,pneumococcal conjugate PCV 7,CPT
VAC HISTORICAL=90670,Pneumococcal conjugate PCV 13,CPT
VAC HISTORICAL=90672,,CPT
VAC HISTORICAL=90675,rabies, intramuscular injection,CPT
VAC HISTORICAL=90676,rabies, intradermal injection,CPT
VAC HISTORICAL=90680,rotavirus, pentavalent,CPT
VAC HISTORICAL=90681,rotavirus, monovalent,CPT
VAC HISTORICAL=90685,,CPT
VAC HISTORICAL=90686,,CPT
VAC HISTORICAL=90690,typhoid, oral,CPT
VAC HISTORICAL=90691,typhoid, ViCPs,CPT
VAC HISTORICAL=90692,typhoid, parenteral,CPT
VAC HISTORICAL=90693,typhoid, parenteral, AKD (U.S. military),CPT
VAC HISTORICAL=90696,DTaP-IPV,CPT
VAC HISTORICAL=90698,DTaP-Hib-IPV,CPT
VAC HISTORICAL=90700,DTaP, 5 pertussis antigens,CPT
VAC HISTORICAL=90700,DTaP,CPT
VAC HISTORICAL=90702,DT (pediatric),CPT
VAC HISTORICAL=90703,tetanus toxoid, adsorbed,CPT
VAC HISTORICAL=90704,mumps,CPT
VAC HISTORICAL=90705,measles,CPT
VAC HISTORICAL=90706,rubella,CPT
VAC HISTORICAL=90707,MMR,CPT
VAC HISTORICAL=90708,M/R,CPT
VAC HISTORICAL=90710,MMRV,CPT
VAC HISTORICAL=90712,OPV,CPT
VAC HISTORICAL=90713,IPV,CPT
VAC HISTORICAL=90714,Td (adult) preservative free,CPT
VAC HISTORICAL=90715,Tdap,CPT
VAC HISTORICAL=90716,varicella,CPT
VAC HISTORICAL=90717,yellow fever,CPT
VAC HISTORICAL=90718,Td (adult), adsorbed,CPT
VAC HISTORICAL=90720,DTP-Hib,CPT
VAC HISTORICAL=90721,DTaP-Hib,CPT
VAC HISTORICAL=90723,DTaP-Hep B-IPV,CPT
VAC HISTORICAL=90725,cholera,CPT
VAC HISTORICAL=90727,plague,CPT
VAC HISTORICAL=90732,pneumococcal polysaccharide PPV23,CPT
VAC HISTORICAL=90733,meningococcal MPSV4,CPT
VAC HISTORICAL=90734,meningococcal MCV4P,CPT
VAC HISTORICAL=90734,Meningococcal MCV4O,CPT
VAC HISTORICAL=90735,Japanese encephalitis SC,CPT
VAC HISTORICAL=90736,zoster,CPT
VAC HISTORICAL=90738,Japanese Encephalitis IM,CPT
VAC HISTORICAL=90740,Hep B, dialysis,CPT
VAC HISTORICAL=90743,Hep B, adult,CPT
VAC HISTORICAL=90744,Hep B, adolescent or pediatric,CPT
VAC HISTORICAL=90746,Hep B, adult,CPT
VAC HISTORICAL=90747,Hep B, dialysis,CPT
VAC HISTORICAL=90748,Hib-Hep B,CPT
ADDRESS TYPE=B,Firm/Business,HL70190
ADDRESS TYPE=BA,Bad address ,HL70190
ADDRESS TYPE=BDL,Birth delivery location,HL70190
ADDRESS TYPE=BR,Residence at birth,HL70190
ADDRESS TYPE=C,Current or temporary,HL70190
ADDRESS TYPE=F,Country of origin ,HL70190
ADDRESS TYPE=H,Home,HL70190
ADDRESS TYPE=L,Legal address ,HL70190
ADDRESS TYPE=M,Mailing,HL70190
ADDRESS TYPE=N,Birth (nee) ,HL70190
ADDRESS TYPE=O,Office,HL70190
ADDRESS TYPE=P,Permanent,HL70190
ADDRESS TYPE=RH,Registry home ,HL70190
NAME TYPE=A,Alias name,HL70200
NAME TYPE=L,Legal name,HL70200
NAME TYPE=D,Display name,HL70200
NAME TYPE=M,Maiden name,HL70200
NAME TYPE=C,Adopted name,HL70200
NAME TYPE=B,Name at birth,HL70200
NAME TYPE=P,Name of partner/spouse,HL70200
NAME TYPE=U,Unspecified,HL70200
TEL USE CODE=ASN,Answering service number,HL70201
TEL USE CODE=BPN,Beeper number,HL70201
TEL USE CODE=EMR,Emergency number,HL70201
TEL USE CODE=NET,Network (email) address,HL70201
TEL USE CODE=ORN,Other residence number,HL70201
TEL USE CODE=PRN,Primary residence number,HL70201
TEL USE CODE=VHN,Vacation home number,HL70201
TEL USE CODE=WPN,Work number,HL70201
TEL EQUIPMENT TYPE=BP,Beeper,HL70202
TEL EQUIPMENT TYPE=CP,Cellular phone,HL70202
TEL EQUIPMENT TYPE=FX,Fax,HL70202
TEL EQUIPMENT TYPE=Internet,Internet address,HL70202
TEL EQUIPMENT TYPE=MD,Modem,HL70202
TEL EQUIPMENT TYPE=PH,Telephone,HL70202
TEL EQUIPMENT TYPE=TDD,Telecommunications Device for the Deaf,HL70202
TEL EQUIPMENT TYPE=TTY,Teletypewriter,HL70202
TEL EQUIPMENT TYPE=X.400,X.400 email address,HL70202
ID TYPE=AN ,Account number ,HL70203
ID TYPE=ANC ,Account number Creditor ,HL70203
ID TYPE=AND ,Account number debitor ,HL70203
ID TYPE=APRN ,Advanced Practice Registered Nurse number ,HL70203
ID TYPE=AM ,American Express ,HL70203
ID TYPE=ANON ,Anonymous identifier ,HL70203
ID TYPE=BA ,Bank Account Number ,HL70203
ID TYPE=BC ,Bank Card Number ,HL70203
ID TYPE=BR ,Birth registry number ,HL70203
ID TYPE=BRN ,Breed Registry Number ,HL70203
ID TYPE=CC ,Cost Center number ,HL70203
ID TYPE=CY ,County number ,HL70203
ID TYPE=DDS ,Dentist license number ,HL70203
ID TYPE=DI ,Diner_s Club card ,HL70203
ID TYPE=DS ,Discover Card ,HL70203
ID TYPE=DN ,Doctor number ,HL70203
ID TYPE=DR ,Donor Registration Number ,HL70203
ID TYPE=DL ,Driver_s license number ,HL70203
ID TYPE=DEA ,Drug Enforcement Administration registration number ,HL70203
ID TYPE=DFN ,Drug Furnishing or prescriptive authority Number ,HL70203
ID TYPE=EI ,Employee number ,HL70203
ID TYPE=EN ,Employer number ,HL70203
ID TYPE=FI ,Facility ID ,HL70203
ID TYPE=GL ,General ledger number ,HL70203
ID TYPE=GN ,Guarantor external identifier ,HL70203
